publication_date,source,title,url
2016-12-21,The Observer,Ugandan farmers need agricology experts – new France ambassador,https://observer.ug/business/ugandan-farmers-need-agricology-experts-new-france-ambassador/
2016-12-21,The Observer,Unra achievements more accidental than deliberate – Katuntu,https://observer.ug/news/unra-achievements-more-accidental-than-deliberate-katuntu/
2016-12-22,The Observer,Parliament reject Shs 117bn supplementary budget for Unra,https://observer.ug/news/parliament-reject-shs-117bn-supplementary-budget-for-unra/
2016-12-23,The Observer,Food prices stay up as drought ravages villages,https://observer.ug/business/food-prices-stay-up-as-drought-ravages-villages/
2016-12-23,The Observer,Government suspends relocation of buses,https://observer.ug/news/government-suspends-relocation-of-buses/
2016-12-23,The Observer,Govt urged to help the deaf get jobs,https://observer.ug/news/govt-urged-to-help-the-deaf-get-jobs/
2016-12-23,The Observer,MP Mpuuga hits back at Museveni over ‘mad’ jibe,https://observer.ug/news/mp-mpuuga-hits-back-at-museveni-over-mad-jibe/
2016-12-23,The Observer,Nsubuga funeral: how govt saved the day,https://observer.ug/news/nsubuga-funeral-how-govt-saved-the-day/
2016-12-23,The Observer,Police offers security tips for festive season,https://observer.ug/news/police-offers-security-tips-for-festive-season/
2016-12-23,The Observer,Police: We can’t place Desh at murder scene,https://observer.ug/news/police-we-can-t-place-desh-at-murder-scene/
2016-12-23,The Observer,Regional meeting rejects term limits,https://observer.ug/news/regional-meeting-rejects-term-limits/
2016-12-23,The Observer,Some top NRM leaders were badly brought up – Lumumba,https://observer.ug/news/some-top-nrm-leaders-were-badly-brought-up-lumumba/
2016-12-23,The Observer,Unra wants heavy fines against overloading,https://observer.ug/news/unra-wants-heavy-fines-against-overloading/
2016-12-23,The Observer,‘Ministers use Museveni name to get money’,https://observer.ug/news/ministers-use-museveni-name-to-get-money/
2016-12-23,The Observer,‘Neglecting local communities in oil districts a time bomb’,https://observer.ug/news/neglecting-local-communities-in-oil-districts-a-time-bomb/
2016-12-25,The Observer,"Govt gives UBC ‘editorial independence’, Shs 20bn capital",https://observer.ug/news/govt-gives-ubc-editorial-independence-shs-20bn-capital/
2016-12-27,The Observer,Police raids Nakasero Mosque,https://observer.ug/news/police-raids-nakasero-mosque/
2016-12-28,The Observer,Dad held for killing daughter,https://observer.ug/news/dad-held-for-killing-daughter/
