month,source,pred_final,count
2022-07,The Observer,payment_financial_dispute,3
2022-08,The Observer,land_row_dispute,319
2022-08,The Observer,delay_time_overrun,68
2022-08,The Observer,procurement_irregularity,19
2022-08,The Observer,quality_technical_defect,17
2022-08,The Observer,governance_oversight_failure,11
2022-08,The Observer,contract_management_failure,10
2022-08,The Observer,payment_financial_dispute,6
2022-09,The Observer,land_row_dispute,230
2022-09,The Observer,delay_time_overrun,61
2022-09,The Observer,quality_technical_defect,32
2022-09,The Observer,procurement_irregularity,30
2022-09,The Observer,governance_oversight_failure,14
2022-09,The Observer,payment_financial_dispute,13
2022-09,The Observer,contract_management_failure,9
2022-10,The Observer,land_row_dispute,231
2022-10,The Observer,delay_time_overrun,28
2022-10,The Observer,procurement_irregularity,19
2022-10,The Observer,contract_management_failure,14
2022-10,The Observer,governance_oversight_failure,8
2022-10,The Observer,quality_technical_defect,5
2022-10,The Observer,payment_financial_dispute,1
2022-11,The Observer,land_row_dispute,75
2022-11,The Observer,procurement_irregularity,25
2022-11,The Observer,delay_time_overrun,20
2022-11,The Observer,governance_oversight_failure,9
2022-11,The Observer,contract_management_failure,7
2022-11,The Observer,quality_technical_defect,5
2022-11,The Observer,payment_financial_dispute,3
2022-12,The Observer,land_row_dispute,121
2022-12,The Observer,delay_time_overrun,26
2022-12,The Observer,procurement_irregularity,12
2022-12,The Observer,quality_technical_defect,10
2022-12,The Observer,contract_management_failure,6
2022-12,The Observer,governance_oversight_failure,6
2023-01,The Observer,land_row_dispute,190
2023-01,The Observer,delay_time_overrun,72
2023-01,The Observer,governance_oversight_failure,20
2023-01,The Observer,procurement_irregularity,19
2023-01,The Observer,quality_technical_defect,13
2023-01,The Observer,contract_management_failure,8
2023-01,The Observer,payment_financial_dispute,7
2023-02,The Observer,land_row_dispute,98
2023-02,The Observer,delay_time_overrun,36
2023-02,The Observer,procurement_irregularity,17
2023-02,The Observer,payment_financial_dispute,15
2023-02,The Observer,quality_technical_defect,13
2023-02,The Observer,contract_management_failure,11
2023-02,The Observer,governance_oversight_failure,10
2023-03,The Observer,land_row_dispute,89
2023-03,The Observer,delay_time_overrun,23
2023-03,The Observer,governance_oversight_failure,12
2023-03,The Observer,quality_technical_defect,11
2023-03,The Observer,procurement_irregularity,9
2023-03,The Observer,contract_management_failure,5
2023-04,The Observer,land_row_dispute,141
2023-04,The Observer,delay_time_overrun,32
2023-04,The Observer,contract_management_failure,18
2023-04,The Observer,governance_oversight_failure,7
2023-04,The Observer,procurement_irregularity,7
2023-04,The Observer,quality_technical_defect,4
2023-04,The Observer,payment_financial_dispute,1
2023-05,The Observer,land_row_dispute,89
2023-05,The Observer,delay_time_overrun,28
2023-05,The Observer,payment_financial_dispute,10
