actor,driver,region,sector
Court,delay_time_overrun,Central,Other
EACOP,land_row_dispute,Western,Energy
NEMA,land_row_dispute,Western,Energy
Government,land_row_dispute,Central,Other
Police,land_row_dispute,Central,Other
URA,land_row_dispute,Central,Other
Court,land_row_dispute,Eastern,Buildings/Housing
President Museveni,land_row_dispute,Eastern,Buildings/Housing
Government,land_row_dispute,Central,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
President Museveni,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
Court,land_row_dispute,Central,Other
Police,land_row_dispute,Central,Other
World Bank,land_row_dispute,Cross-border,Roads/Transport
Government,land_row_dispute,Central,Other
Parliament,land_row_dispute,Central,Other
Government,land_row_dispute,Central,Roads/Transport
Ministry of Education,land_row_dispute,Central,Roads/Transport
Government,governance_oversight_failure,Central,Roads/Transport
IGG,governance_oversight_failure,Central,Roads/Transport
Parliament,governance_oversight_failure,Central,Roads/Transport
UNRA,governance_oversight_failure,Central,Roads/Transport
Court,governance_oversight_failure,Northern/Eastern,Buildings/Housing
Government,governance_oversight_failure,Northern/Eastern,Buildings/Housing
IGG,governance_oversight_failure,Northern/Eastern,Buildings/Housing
KCCA,land_row_dispute,Central,Land/Urban
URA,land_row_dispute,Central,Land/Urban
Police,land_row_dispute,Central,Buildings/Housing
Government,quality_technical_defect,Northern,Roads/Transport
Parliament,quality_technical_defect,Northern,Roads/Transport
UNRA,quality_technical_defect,Northern,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
President Museveni,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
UEGCL,land_row_dispute,Central,Roads/Transport
Government,delay_time_overrun,Central,Buildings/Housing
Ministry of Education,delay_time_overrun,Central,Buildings/Housing
Ministry of Health,contract_management_failure,Central,Buildings/Housing
Court,procurement_irregularity,Central,Roads/Transport
Court,land_row_dispute,Cross-border,Oil/Gas
EACOP,land_row_dispute,Cross-border,Oil/Gas
Government,land_row_dispute,Cross-border,Oil/Gas
President Museveni,land_row_dispute,Cross-border,Oil/Gas
President Museveni,land_row_dispute,Central,Energy
Court,land_row_dispute,Central,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
